Time,G1 - Min,G1 - Max,G1 - Cost
01/01/2019 00.00,0,1600,0.02832
01/01/2019 01.00,0,1600,0.01007
01/01/2019 02.00,0,1600,0.01003
01/01/2019 03.00,0,1600,0.00456
01/01/2019 04.00,0,1600,0.00483
01/01/2019 05.00,0,1600,0.00809
01/01/2019 06.00,0,1600,0.02554
01/01/2019 07.00,0,1600,0.03916
01/01/2019 08.00,0,1600,0.03766
01/01/2019 09.00,0,1600,0.02152
01/01/2019 10.00,0,1600,0.02825
01/01/2019 11.00,0,1600,0.01929
01/01/2019 12.00,0,1600,0.01932
01/01/2019 13.00,0,1600,0.01621
01/01/2019 14.00,0,1600,0.02147
01/01/2019 15.00,0,1600,0.03269
01/01/2019 16.00,0,1600,0.02934
01/01/2019 17.00,0,1600,0.03019
01/01/2019 18.00,0,1600,0.03009
01/01/2019 19.00,0,1600,0.02958
01/01/2019 20.00,0,1600,0.03691
01/01/2019 21.00,0,1600,0.03314
01/01/2019 22.00,0,1600,0.02161
01/01/2019 23.00,0,1600,0.00404
02/01/2019 00.00,0,1600,0.0097
02/01/2019 01.00,0,1600,0.00632
02/01/2019 02.00,0,1600,0.00435
02/01/2019 03.00,0,1600,0.00881
02/01/2019 04.00,0,1600,0.02267
02/01/2019 05.00,0,1600,0.04328
02/01/2019 06.00,0,1600,0.04464
02/01/2019 07.00,0,1600,0.04964
02/01/2019 08.00,0,1600,0.04996
02/01/2019 09.00,0,1600,0.05074
02/01/2019 10.00,0,1600,0.04999
02/01/2019 11.00,0,1600,0.05025
02/01/2019 12.00,0,1600,0.04994
02/01/2019 13.00,0,1600,0.04997
02/01/2019 14.00,0,1600,0.05093
02/01/2019 15.00,0,1600,0.05238
02/01/2019 16.00,0,1600,0.05467
02/01/2019 17.00,0,1600,0.05558
02/01/2019 18.00,0,1600,0.05539
02/01/2019 19.00,0,1600,0.0549
02/01/2019 20.00,0,1600,0.05386
02/01/2019 21.00,0,1600,0.05271
02/01/2019 22.00,0,1600,0.05209
02/01/2019 23.00,0,1600,0.05076
03/01/2019 00.00,0,1600,0.0498
03/01/2019 01.00,0,1600,0.04889
03/01/2019 02.00,0,1600,0.04831
03/01/2019 03.00,0,1600,0.0484
03/01/2019 04.00,0,1600,0.04879
03/01/2019 05.00,0,1600,0.04961
03/01/2019 06.00,0,1600,0.05117
03/01/2019 07.00,0,1600,0.05391
03/01/2019 08.00,0,1600,0.05496
03/01/2019 09.00,0,1600,0.05427
03/01/2019 10.00,0,1600,0.05379
03/01/2019 11.00,0,1600,0.05325
03/01/2019 12.00,0,1600,0.05315
03/01/2019 13.00,0,1600,0.05261
03/01/2019 14.00,0,1600,0.05263
03/01/2019 15.00,0,1600,0.05269
03/01/2019 16.00,0,1600,0.05285
03/01/2019 17.00,0,1600,0.05258
03/01/2019 18.00,0,1600,0.05223
03/01/2019 19.00,0,1600,0.05233
03/01/2019 20.00,0,1600,0.05334
03/01/2019 21.00,0,1600,0.05407
03/01/2019 22.00,0,1600,0.05209
03/01/2019 23.00,0,1600,0.04998
04/01/2019 00.00,0,1600,0.04987
04/01/2019 01.00,0,1600,0.04797
04/01/2019 02.00,0,1600,0.04707
04/01/2019 03.00,0,1600,0.04705
04/01/2019 04.00,0,1600,0.04743
04/01/2019 05.00,0,1600,0.04858
04/01/2019 06.00,0,1600,0.05087
04/01/2019 07.00,0,1600,0.05196
04/01/2019 08.00,0,1600,0.05261
04/01/2019 09.00,0,1600,0.05319
04/01/2019 10.00,0,1600,0.05353
04/01/2019 11.00,0,1600,0.05301
04/01/2019 12.00,0,1600,0.05174
04/01/2019 13.00,0,1600,0.0516
04/01/2019 14.00,0,1600,0.05141
04/01/2019 15.00,0,1600,0.05169
04/01/2019 16.00,0,1600,0.05259
04/01/2019 17.00,0,1600,0.05334
04/01/2019 18.00,0,1600,0.05281
04/01/2019 19.00,0,1600,0.05179
04/01/2019 20.00,0,1600,0.05104
04/01/2019 21.00,0,1600,0.05045
04/01/2019 22.00,0,1600,0.04979
04/01/2019 23.00,0,1600,0.04902
05/01/2019 00.00,0,1600,0.04842
05/01/2019 01.00,0,1600,0.04752
05/01/2019 02.00,0,1600,0.04719
05/01/2019 03.00,0,1600,0.047
05/01/2019 04.00,0,1600,0.04701
05/01/2019 05.00,0,1600,0.04733
05/01/2019 06.00,0,1600,0.04759
05/01/2019 07.00,0,1600,0.04822
05/01/2019 08.00,0,1600,0.04999
05/01/2019 09.00,0,1600,0.05073
05/01/2019 10.00,0,1600,0.05093
05/01/2019 11.00,0,1600,0.05102
05/01/2019 12.00,0,1600,0.05136
05/01/2019 13.00,0,1600,0.05174
05/01/2019 14.00,0,1600,0.05192
05/01/2019 15.00,0,1600,0.05322
05/01/2019 16.00,0,1600,0.05526
05/01/2019 17.00,0,1600,0.05587
05/01/2019 18.00,0,1600,0.05526
05/01/2019 19.00,0,1600,0.0538
05/01/2019 20.00,0,1600,0.05275
05/01/2019 21.00,0,1600,0.0519
05/01/2019 22.00,0,1600,0.05113
05/01/2019 23.00,0,1600,0.05021
06/01/2019 00.00,0,1600,0.05029
06/01/2019 01.00,0,1600,0.04903
06/01/2019 02.00,0,1600,0.04881
06/01/2019 03.00,0,1600,0.04866
06/01/2019 04.00,0,1600,0.04782
06/01/2019 05.00,0,1600,0.04872
06/01/2019 06.00,0,1600,0.04938
06/01/2019 07.00,0,1600,0.04965
06/01/2019 08.00,0,1600,0.05044
06/01/2019 09.00,0,1600,0.05168
06/01/2019 10.00,0,1600,0.05235
06/01/2019 11.00,0,1600,0.05277
06/01/2019 12.00,0,1600,0.05286
06/01/2019 13.00,0,1600,0.05244
06/01/2019 14.00,0,1600,0.05152
06/01/2019 15.00,0,1600,0.05157
06/01/2019 16.00,0,1600,0.05328
06/01/2019 17.00,0,1600,0.05341
06/01/2019 18.00,0,1600,0.05309
06/01/2019 19.00,0,1600,0.05262
06/01/2019 20.00,0,1600,0.05195
