Time,W1 - Min,W1 - Max,W1 - Cost
01/01/2019 00.00,0,449.467,0
01/01/2019 01.00,0,461.902,0
01/01/2019 02.00,0,468.841,0
01/01/2019 03.00,0,472.748,0
01/01/2019 04.00,0,481.599,0
01/01/2019 05.00,0,485.551,0
01/01/2019 06.00,0,486.678,0
01/01/2019 07.00,0,489.071,0
01/01/2019 08.00,0,492.066,0
01/01/2019 09.00,0,494.432,0
01/01/2019 10.00,0,495.405,0
01/01/2019 11.00,0,495.649,0
01/01/2019 12.00,0,495.619,0
01/01/2019 13.00,0,495.637,0
01/01/2019 14.00,0,495.633,0
01/01/2019 15.00,0,495.489,0
01/01/2019 16.00,0,491.852,0
01/01/2019 17.00,0,485.656,0
01/01/2019 18.00,0,479.758,0
01/01/2019 19.00,0,480.157,0
01/01/2019 20.00,0,481.529,0
01/01/2019 21.00,0,478.758,0
01/01/2019 22.00,0,476.991,0
01/01/2019 23.00,0,479.823,0
02/01/2019 00.00,0,482.585,0
02/01/2019 01.00,0,483.256,0
02/01/2019 02.00,0,478.437,0
02/01/2019 03.00,0,472.738,0
02/01/2019 04.00,0,469.292,0
02/01/2019 05.00,0,463.681,0
02/01/2019 06.00,0,452.217,0
02/01/2019 07.00,0,437.324,0
02/01/2019 08.00,0,417.431,0
02/01/2019 09.00,0,394.057,0
02/01/2019 10.00,0,375.849,0
02/01/2019 11.00,0,359.997,0
02/01/2019 12.00,0,349.926,0
02/01/2019 13.00,0,342.753,0
02/01/2019 14.00,0,325.332,0
02/01/2019 15.00,0,279.933,0
02/01/2019 16.00,0,239.99,0
02/01/2019 17.00,0,197.548,0
02/01/2019 18.00,0,167.135,0
02/01/2019 19.00,0,146.096,0
02/01/2019 20.00,0,131.855,0
02/01/2019 21.00,0,126.48,0
02/01/2019 22.00,0,130.685,0
02/01/2019 23.00,0,139.464,0
03/01/2019 00.00,0,153.528,0
03/01/2019 01.00,0,162.571,0
03/01/2019 02.00,0,164.327,0
03/01/2019 03.00,0,168.362,0
03/01/2019 04.00,0,170.318,0
03/01/2019 05.00,0,169.318,0
03/01/2019 06.00,0,167.068,0
03/01/2019 07.00,0,162.58,0
03/01/2019 08.00,0,156.217,0
03/01/2019 09.00,0,130.704,0
03/01/2019 10.00,0,102.808,0
03/01/2019 11.00,0,81.534,0
03/01/2019 12.00,0,72.011,0
03/01/2019 13.00,0,76.774,0
03/01/2019 14.00,0,79.53,0
03/01/2019 15.00,0,84.276,0
03/01/2019 16.00,0,97.946,0
03/01/2019 17.00,0,115.477,0
