# Renewables.ninja Wind (Point API) - 55.670, 10.333 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Copenhagen, electricity in kW
# {"units": {"time": "UTC", "local_time": "Europe/Copenhagen", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "55.670249", "lon": "10.3333283", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "500", "height": "80", "turbine": "Vestas V90 2000", "raw": false}}
time,local_time,electricity
2019-01-01 00:00,2019-01-01 01:00,449.467
2019-01-01 01:00,2019-01-01 02:00,461.902
2019-01-01 02:00,2019-01-01 03:00,468.841
2019-01-01 03:00,2019-01-01 04:00,472.748
2019-01-01 04:00,2019-01-01 05:00,481.599
2019-01-01 05:00,2019-01-01 06:00,485.551
2019-01-01 06:00,2019-01-01 07:00,486.678
2019-01-01 07:00,2019-01-01 08:00,489.071
2019-01-01 08:00,2019-01-01 09:00,492.066
2019-01-01 09:00,2019-01-01 10:00,494.432
2019-01-01 10:00,2019-01-01 11:00,495.405
2019-01-01 11:00,2019-01-01 12:00,495.649
2019-01-01 12:00,2019-01-01 13:00,495.619
2019-01-01 13:00,2019-01-01 14:00,495.637
2019-01-01 14:00,2019-01-01 15:00,495.633
2019-01-01 15:00,2019-01-01 16:00,495.489
2019-01-01 16:00,2019-01-01 17:00,491.852
2019-01-01 17:00,2019-01-01 18:00,485.656
2019-01-01 18:00,2019-01-01 19:00,479.758
2019-01-01 19:00,2019-01-01 20:00,480.157
2019-01-01 20:00,2019-01-01 21:00,481.529
2019-01-01 21:00,2019-01-01 22:00,478.758
2019-01-01 22:00,2019-01-01 23:00,476.991
2019-01-01 23:00,2019-01-02 00:00,479.823
2019-01-02 00:00,2019-01-02 01:00,482.585
2019-01-02 01:00,2019-01-02 02:00,483.256
2019-01-02 02:00,2019-01-02 03:00,478.437
2019-01-02 03:00,2019-01-02 04:00,472.738
2019-01-02 04:00,2019-01-02 05:00,469.292
2019-01-02 05:00,2019-01-02 06:00,463.681
2019-01-02 06:00,2019-01-02 07:00,452.217
